product ID,Product Title,Merchant ID, Category Label,_Product Code,Number_of_Views,Merchant Rating, Listing Date  
1,apple iphone 8 plus 64gb silver,1,Mobile Phones,QA-2276-XC,860.0,2.5,5/10/2024
2,apple iphone 8 plus 64 gb spacegrau,2,Mobile Phones,KA-2501-QO,3772.0,4.8,12/31/2024
3,apple mq8n2b/a iphone 8 plus 64gb 5.5 12mp sim free smartphone in gold,3,Mobile Phones,FP-8086-IE,3092.0,3.9,11/10/2024
4,apple iphone 8 plus 64gb space grey,4,Mobile Phones,YI-0086-US,466.0,3.4,5/2/2022
5,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,5,Mobile Phones,NZ-3586-WP,4426.0,1.6,4/12/2023
6,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,6,Mobile Phones,SB-2202-CH,3444.0,1.6,11/27/2022
7,apple iphone 8 plus 64 gb space grey,7,Mobile Phones,QJ-3229-QP,3171.0,1.2,3/29/2022
8,apple iphone 8 plus 64gb space grey,8,Mobile Phones,ES-1396-OR,2919.0,4.5,5/21/2024
9,apple iphone 8 plus 64gb space grey,9,Mobile Phones,VU-2032-FY,130.0,3.4,5/11/2022
10,apple iphone 8 plus 64gb space grey,10,Mobile Phones,WI-6394-GG,1685.0,3.8,2/9/2024
11,apple iphone 8 plus 5.5 single sim 4g 64gb silver,11,Mobile Phones,OG-5832-ZN,769.0,1.1,12/10/2022
12,sim free iphone 8 plus 64gb by apple space grey,12,Mobile Phones,CB-1674-BJ,2391.0,4.9,3/16/2024
13,apple iphone 8 plus 64gb gold smartphone,13,Mobile Phones,ZN-9807-RN,2433.0,4.3,1/21/2023
14,apple iphone 8 plus 5.5 single sim 4g 64gb grey,14,Mobile Phones,GQ-1449-WG,1184.0,1.8,8/13/2024
15,apple iphone 8 plus silver 5.5 64gb 4g unlocked sim free,15,Mobile Phones,NE-9826-PD,4555.0,1.7,10/4/2022
16,apple iphone 8 plus 64 gb silver,16,Mobile Phones,TO-7503-AY,3385.0,1.7,4/5/2023
17,apple iphone 8 plus 64gb silver unlocked,17,Mobile Phones,WV-3089-CM,4117.0,2.2,1/22/2022
18,apple iphone 8 plus 14 cm 5.5 64 gb 12 mp ios 11 silver,18,Mobile Phones,BT-7145-GW,4843.0,3.1,9/10/2022
19,iphone 8 plus sim free water dust resistant 64gb silver by apple,19,Mobile Phones,LF-5723-ZQ,2904.0,2.7,1/18/2024
20,iphone 8 plus 64gb space grey,20,Mobile Phones,LN-1235-FF,474.0,2.2,5/6/2024
21,apple iphone 8 plus,21,Mobile Phones,BQ-2980-GR,1082.0,3.4,4/20/2023
22,sim free iphone 8 plus 64gb mobile phone space grey,22,Mobile Phones,FD-9547-UE,2558.0,1.6,12/18/2024
23,apple mq8m2b/a 5.5 iphone 8 plus 64gb silver in stock uk spec stock,23,Mobile Phones,CL-4476-ZC,2047.0,2.2,5/26/2023
24,apple mnqq2b/a iphone 7 plus 32gb 5.5 12mp sim free smartphone in rose gold,3,Mobile Phones,KI-8214-KH,2747.0,2.5,12/1/2023
25,apple iphone 7 plus 32 gb rose gold,2,Mobile Phones,GY-4850-ZV,975.0,2.8,9/2/2024
26,apple iphone 7 plus 32gb rose gold,4,Mobile Phones,ZY-8142-KB,1806.0,4.1,7/9/2022
27,apple iphone 7 plus 32gb silver,1,Mobile Phones,JZ-2744-YZ,189.0,1.8,8/15/2024
28,apple iphone 7 plus silver 32gb 4g unlocked sim free,5,Mobile Phones,OS-1295-OT,2734.0,3.1,11/18/2023
29,apple iphone 7 plus silver 32gb 4g unlocked sim free,6,Mobile Phones,BP-5819-CE,3005.0,3.4,8/15/2024
30,apple iphone 7 plus jet black 32 gb,7,Mobile Phones,PR-2182-PQ,4658.0,1.2,7/17/2023
31,apple iphone 7 plus 32gb silver,9,Mobile Phones,KP-5927-GK,1899.0,3.4,4/11/2024
32,apple iphone 7 plus 32gb black,8,Mobile Phones,RH-3704-ZZ,1267.0,1.7,10/9/2023
33,apple iphone 7 plus 32gb black,10,Mobile Phones,BF-2988-JE,1528.0,1.3,1/21/2022
34,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah silver,11,Mobile Phones,VS-6960-VH,3202.0,4.8,4/20/2024
35,iphone 7 plus 32gb black,24,Mobile Phones,RY-1115-HP,3556.0,4.9,6/16/2022
36,sim free iphone 7 plus 32gb by apple black,12,Mobile Phones,SF-6249-VC,3890.0,4.2,1/23/2023
37,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah pink gold,14,Mobile Phones,LH-0762-TO,646.0,2.2,8/24/2023
38,apple iphone 7 plus 32gb schwarz smartphone,13,Mobile Phones,LA-0895-VP,2888.0,1.4,11/12/2022
39,apple iphone 7 plus rose gold 5.5 32gb 4g unlocked sim free,15,Mobile Phones,DD-3878-XF,2435.0,3.7,1/14/2022
40,sim free iphone 7 plus 32gb mobile phone silver,22,Mobile Phones,GC-7846-EY,600.0,2.8,8/30/2022
41,apple iphone 7 plus 5.5 inch multi touch 32gb wlan wwan bluetooth c,18,Mobile Phones,WZ-8807-IY,2363.0,1.5,2/16/2024
42,apple iphone 7 plus 32gb rosegold 3 brand new,25,Mobile Phones,UW-8271-WW,2061.0,3.0,7/19/2023
43,iphone 7 plus 32gb silver,20,Mobile Phones,FV-4372-AF,241.0,1.1,6/16/2024
44,apple iphone 7 plus,21,Mobile Phones,IW-9263-ZN,2041.0,4.6,4/2/2022
45,iphone 7 plus 32gb rose gold mnqq2b/a wc01,26,Mobile Phones,YC-9192-CL,2824.0,2.0,8/13/2024
46,apple grade b iphone 7 32gb gold handset only,5,Mobile Phones,SI-6535-GS,2612.0,3.7,5/24/2023
47,grade b apple iphone 7 32gb silver handset only,6,Mobile Phones,AY-5776-JB,1363.0,2.2,2/15/2024
48,apple mn8x2b/a iphone 7 32gb 4.7 12mp sim free smartphone in black,3,Mobile Phones,RI-3873-IK,1478.0,3.1,2/4/2022
49,apple iphone 7 32 gb matt schwarz,2,Mobile Phones,KH-1496-XQ,2556.0,3.2,7/25/2022
50,iphone 7 32gb gold,4,Mobile Phones,HO-0245-RM,775.0,1.7,10/22/2024
51,apple iphone 7 black 32 gb,7,Mobile Phones,LF-4971-CN,4014.0,4.9,10/18/2024
52,apple iphone 7 32gb silver,9,Mobile Phones,QI-8762-FA,34.0,4.1,7/20/2023
53,apple iphone 7 32gb black,27,Mobile Phones,GM-8046-FS,3152.0,4.8,12/4/2023
54,apple iphone 7 32gb silver unlocked,8,Mobile Phones,MG-6077-CL,1955.0,4.6,2/6/2023
55,apple iphone 7 32gb rose gold unlocked,10,Mobile Phones,EY-5028-LU,1585.0,3.4,12/31/2023
56,apple iphone 7 32gb schwarz smartphone,13,Mobile Phones,RZ-5986-SN,3943.0,4.7,6/11/2022
57,apple iphone 7 32gb gold,1,Mobile Phones,VO-8742-GQ,3073.0,1.4,7/21/2022
58,apple iphone 7 black 4.7 32gb 4g unlocked sim free,15,Mobile Phones,TN-6202-HI,1021.0,1.8,9/22/2024
59,apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah gold,11,Mobile Phones,OD-2670-KO,3461.0,1.2,9/27/2022
60,apple iphone 7 4.7 single sim 4g 2gb 32gb 1960mah black,14,Mobile Phones,KF-4956-WT,2613.0,2.3,3/26/2024
61,sim free iphone 7 32gb mobile phone jet black,22,Mobile Phones,JA-3789-KT,3843.0,2.6,4/1/2023
62,apple iphone 7 11.9 cm 4.7 32 gb 12 mp ios 10 black,18,Mobile Phones,OP-2240-IR,1500.0,2.1,10/13/2024
63,apple iphone 7 32gb jet black,17,Mobile Phones,KE-4160-KO,4798.0,4.3,10/23/2022
